,category,product,Original_price,price,perc_of_unit_sold,rating,shpping_rate,gender
82,Athletic Shoes,"Asics Gel-Kayano 5 OG Sneakers for Men, White, 42.5 EU",489.0,269.0,75.0,,FREE Shipping,men
83,Athletic Shoes,"Asics Gel-Saga Sneakers for Women, White, 38 EU",379.0,209.0,,,FREE Shipping,women
84,Athletic Shoes,"Asics Gel-Kayano 5 OG Sneakers for Men, White, 44 EU",489.0,269.0,50.0,100.0,FREE Shipping,men
85,Athletic Shoes,"Asics Gel-Lyte Runner Sneakers for Men, Multicolour, 42 EU",309.0,169.0,25.0,,Eligible for FREE Shipping,men
86,Athletic Shoes,"Asics Gel-Saga SOU Sneakers for Women, White, 39 EU",339.0,189.0,85.0,100.0,Eligible for FREE Shipping,women
87,Athletic Shoes,"Asics Curreo II Sneakers for Men, Grey, 44 EU",249.0,139.0,50.0,,Eligible for FREE Shipping,men
88,Athletic Shoes,"Asics New York Sneakers for Women, Grey, 39 EU",299.0,159.0,20.0,,Eligible for FREE Shipping,women
89,Athletic Shoes,"Nike Acalme Nylon-Mesh Contrast Side Logo Suede Heel-Tab Training Shoes for Men - Black & White, 44.5",,280.98,,,FREE Shipping,men
90,Athletic Shoes,Nike air Max Motion 2 Running Shoes for Men - atmosphere Grey/White (44 EU),589.0,386.99,,,FREE Shipping,men
91,Athletic Shoes,"Nike Court Vision Low Faux Leather Contrast Side Logo Perforated Upper Training Shoes for Men - Gym Red, 44.5",,259.98,,,FREE Shipping,men
92,Athletic Shoes,"Skechers BOUNDER Sneaker for Men , Size 42.5 EU , Black",,271.98,,,FREE Shipping,men
93,Athletic Shoes,"Skechers GO WALK 5 Sneaker for Men , Size 42.5 EU , Black",289.0,192.99,23.0,,Eligible for FREE Shipping,men
94,Athletic Shoes,Vans Old Skool Check Lace Sneakers for Women (Black - 39 EU),309.0,172.99,62.0,,Eligible for FREE Shipping,women
0,Casual & Dress Shoes,Lacoste Casual Shoe For Men Size 45 EU - White,519.0,295.98,14.0,,FREE Shipping,men
1,Casual & Dress Shoes,"Lacoste Fairlead Fashion Sneakers Shoes For Men, Size 46 EU, Black and Grey",469.0,268.49,50.0,,FREE Shipping,men
2,Casual & Dress Shoes,"Lacoste Europa Lace Up Shoes For Men Size 42 EU, Black",459.0,262.49,66.0,,FREE Shipping,men
3,Casual & Dress Shoes,"Lacoste Jouer Fashion Sneakers Shoes for Men, Size 42 EU, Navy and White",459.0,262.49,60.0,100.0,FREE Shipping,men
4,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 42 EU - Black,539.0,309.98,87.0,100.0,FREE Shipping,men
5,Casual & Dress Shoes,"Jack & Jones Lace Up Shoes for Men, Size 44 EU, Black",139.0,100.49,63.0,,Eligible for FREE Shipping,men
6,Casual & Dress Shoes,"Geox U KAVEN Fashion Sneakers For Men , size 43 EU , Black",479.0,215.48,67.0,100.0,FREE Shipping,men
7,Casual & Dress Shoes,Jack and Jones Shoes for Men  - Navy - 44 EU,189.0,90.49,94.0,96.0,Eligible for FREE Shipping,men
8,Casual & Dress Shoes,Hugo Boss Casual Shoe for Men Size 43 EU - Navy,759.0,553.98,37.0,,FREE Shipping,men
9,Casual & Dress Shoes,Jack and Jones Shoes for Men  - Black - 43 EU,209.0,100.49,39.0,74.0,Eligible for FREE Shipping,men
10,Casual & Dress Shoes,Hugo Boss Casual Shoe for Men Size 42 EU - Dark Navy,749.0,545.99,71.0,,FREE Shipping,men
11,Casual & Dress Shoes,"Polo Ralph Lauren Hanford Sneakers for Men, Black - 43 EU",269.0,174.98,66.0,,Eligible for FREE Shipping,men
12,Casual & Dress Shoes,Lacoste Casual Shoe For Women Size 39 EU - White,399.0,225.98,71.0,,FREE Shipping,women
13,Casual & Dress Shoes,"Polo Ralph Lauren Fashion Sneakers For Men Size 44 EU , Black",329.0,222.48,80.0,100.0,FREE Shipping,men
14,Casual & Dress Shoes,Lacoste Casual Shoe for Women Size 39 EU - Black,499.0,349.99,40.0,,FREE Shipping,women
15,Casual & Dress Shoes,"Lacoste La Piquee Fashion Sneakers Shoes for Men, Size 43 EU, Off White",589.0,335.49,,,FREE Shipping,men
16,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 43 EU - Black,519.0,295.98,15.0,,FREE Shipping,men
17,Casual & Dress Shoes,"Lacoste Carnaby Lace Up Shoes For Men Size 42 EU, White",519.0,295.98,66.0,,FREE Shipping,men
18,Casual & Dress Shoes,Lacoste Casual Shoe For Men Size 43 EU - White,539.0,298.48,45.0,,FREE Shipping,men
19,Casual & Dress Shoes,"Puma Fashion Sneakers Casual Shoe  For Men , Navy , 43 EU",255.0,187.49,87.0,80.0,Eligible for FREE Shipping,men
20,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 43 EU - Navy,539.0,309.98,36.0,,FREE Shipping,men
21,Casual & Dress Shoes,"Lacoste Fairlead Fashion Sneakers Shoes for Men, Size 43 EU, White and Beige",469.0,268.49,16.0,,FREE Shipping,men
22,Casual & Dress Shoes,"Puma Fashion Sneakers Casual Shoe  For Women , White & Black , 41 EU",389.0,269.99,,,FREE Shipping,women
23,Casual & Dress Shoes,"Lacoste Graduate Lace Up Shoes For Men Size 46 EU, White",449.0,258.49,,,FREE Shipping,men
24,Casual & Dress Shoes,"Lacoste avance Lace Up Shoes For Men Size 44 EU, Black",519.0,280.49,,,FREE Shipping,men
25,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 45 EU - Black,469.0,333.98,50.0,,FREE Shipping,men
26,Casual & Dress Shoes,Lacoste Casual Shoe For Men Size 45 EU - White,449.0,258.49,,,FREE Shipping,men
27,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 44 EU - White,359.0,254.49,83.0,100.0,FREE Shipping,men
28,Casual & Dress Shoes,"Lacoste Europa Lace Up Shoes For Men Size 46 EU, White",459.0,262.49,,,FREE Shipping,men
29,Casual & Dress Shoes,Lacoste Casual Shoe for Women Size 39 EU - Pink,339.0,238.98,,,FREE Shipping,women
30,Casual & Dress Shoes,"Lacoste Graduate Lace Up Shoes For Women Size 40 EU, Black",449.0,258.49,40.0,,FREE Shipping,women
31,Casual & Dress Shoes,"Nike Air Force 1 '07 Sneaker For Men , Grey",529.0,341.99,33.0,,FREE Shipping,men
32,Casual & Dress Shoes,Puma Fashion Sneaker for Women (Black - 33 EU),289.0,138.48,,,Eligible for FREE Shipping,women
33,Casual & Dress Shoes,"Puma Fashion Sneakers Casual Shoe  For Men , Multi Color , 40 EU",509.0,355.98,,,FREE Shipping,men
34,Casual & Dress Shoes,"Puma Fashion Sneakers Casual Shoe  For Men , Navy , 41 EU",320.0,203.49,,,FREE Shipping,men
35,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 45 EU - Navy,449.0,318.49,33.0,,FREE Shipping,men
36,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 46 EU - White,539.0,381.99,33.0,,FREE Shipping,men
37,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 46 EU - Navy,539.0,381.99,33.0,,FREE Shipping,men
38,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 44 EU - Black,639.0,325.98,50.0,,FREE Shipping,men
39,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 44 EU - White,469.0,333.98,50.0,,FREE Shipping,men
40,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 44 EU - Navy,409.0,286.48,,,FREE Shipping,men
41,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 44 EU - White,499.0,349.99,,,FREE Shipping,men
42,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 43 EU - White,529.0,271.49,25.0,,FREE Shipping,men
43,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 44 EU - Navy,379.0,260.99,33.0,,FREE Shipping,men
44,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 42 EU - White,379.0,270.48,50.0,,FREE Shipping,men
45,Casual & Dress Shoes,Lacoste Casual Shoe for Men Size 42 EU - Black,379.0,270.48,50.0,,FREE Shipping,men
46,Casual & Dress Shoes,"Geox U FEDERICO Fashion Sneakers For Men , size 44 EU , Black",579.0,250.98,88.0,100.0,FREE Shipping,men
0,Eyewear,"Carrera Sunglasses for Unisex , Black Aviator",650.0,346.98,52.0,,FREE Shipping,Unisex
1,Eyewear,"Carrera Sunglasses For Unisex - Green Lens, 149/S-6Lb, Aviator Frame",750.0,351.98,25.0,80.0,FREE Shipping,Unisex
2,Eyewear,"Ray-Ban Sunglasses For Men, Grey, 3386, Aviator Frame",770.0,427.98,89.0,92.0,FREE Shipping,men
3,Eyewear,"Ray-Ban Aviator Classic Sunglasses for Men , RB3025 L0205 58-14",1050.0,308.0,81.0,96.0,FREE Shipping,men
4,Eyewear,"Ray-Ban RB1971 914751 Square Sunglasses for Unisex , Lens 54 mm",997.0,444.99,57.0,96.0,FREE Shipping,Unisex
5,Eyewear,"Ray-Ban Rectangular Unisex Sunglasses - Rb4165 601/71 54-16, Green Lens, Rectangle Frame",725.0,372.49,94.0,88.0,FREE Shipping,Unisex
6,Eyewear,"Polaroid Sunglasses For Men, Brown- Pld 6033/S, Square Frame",250.0,157.49,75.0,,Eligible for FREE Shipping,men
7,Eyewear,"Polaroid Sunglasses for Unisex , Blue",250.0,180.48,46.0,,Eligible for FREE Shipping,Unisex
8,Eyewear,"Polaroid Sunglasses For Women, Grey, Oval Frame",250.0,145.98,13.0,,Eligible for FREE Shipping,women
9,Eyewear,"Ray-Ban 3025 Aviator Large Metal Non-Mirrored Non-Polarized Sunglasses, Silver/Light Grey Gradient (003/32), 58mm",1130.0,321.0,75.0,92.0,FREE Shipping,
10,Eyewear,"Bvlgari Sunglasses for Men , Lens Color Grey , 8053672139723",1329.0,637.49,,,FREE Shipping,men
11,Eyewear,"Diesel Wayfarer Unisex's Sunglasses - Dl0161 - 54-16-145 mm, Purple Lens",755.0,238.49,57.0,66.0,FREE Shipping,Unisex
12,Eyewear,"Ray-Ban Sunglasses for Unisex , 0RB4246 1197Z251",1110.0,409.49,,,FREE Shipping,Unisex
13,Eyewear,Ray Ban Classic Aviator Gold Unisex Sunglasses - Rb3025 -58-14-135,850.0,419.0,54.0,78.0,FREE Shipping,Unisex
14,Eyewear,"Ray Ban 3025, W3234 (55 mm) Sunglass, Green Lens, Aviator Frame, For Men",750.0,385.46,29.0,78.0,FREE Shipping,men
15,Eyewear,Ray-Ban Aviator Unisex Sunglasses - RB3025-004-58-58,900.0,517.15,2.0,80.0,FREE Shipping,Unisex
16,Eyewear,"Ray Ban 4165, 710/13 (51 mm) Sunglass, Brown Lens, Rectangular Frame",690.0,311.99,80.0,,FREE Shipping,
17,Eyewear,"Polaroid Sunglasses , for Women , Mixed , Aviator Lens Shape - Pld 2043/S-80761M9",201.0,129.49,22.0,60.0,Eligible for FREE Shipping,women
18,Eyewear,"Polaroid Sunglasses For Unisex, Green- Pld 1017/S 2276393Yg60H8, Oval Frame",250.0,131.48,19.0,90.0,Eligible for FREE Shipping,Unisex
19,Eyewear,"Carrera Aviator Men's Sunglasses - Carrera 113/S -003-57-17-145-QT, 145 mm Green",750.0,268.49,31.0,92.0,FREE Shipping,men
20,Eyewear,"Polaroid Sunglass for Men , Grey Lens , PLD 2059/S 003 60",280.0,150.49,42.0,100.0,Eligible for FREE Shipping,men
21,Eyewear,Polaroid P4139 Aviator Sunglasses,350.0,131.48,10.0,80.0,Eligible for FREE Shipping,
22,Eyewear,"Ray Ban Aviator Sunglasses For Unisex - Brown Gradient Lens, Rb4147/710/51, 60-15-145, 145 mm",945.0,384.49,70.0,88.0,FREE Shipping,Unisex
23,Eyewear,"Ray-Ban Aviator Sunglasses For Men - Rb3449-003/8G 59, Grey Lens",770.0,464.49,99.0,86.0,FREE Shipping,men
24,Eyewear,Ray-Ban Sunglasses for Unisex -0RB3552i,614.0,276.49,85.0,68.0,FREE Shipping,Unisex
25,Eyewear,Carrera Carrera 126/S QGGHD (Black - Gun with Grey Gradient lenses),750.0,373.49,35.0,90.0,FREE Shipping,
26,Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3449-001/1359, Brown Lens",1014.0,427.98,89.0,86.0,FREE Shipping,Unisex
27,Eyewear,"Esprit Women's Sunglasses - Brown Frame,Brown Gradient Lens- ET19461/535, size 56-16-142",336.0,143.99,92.0,92.0,Eligible for FREE Shipping,women
28,Eyewear,CARRERA Men's Sunglasses Rectangular 130/S - Gold,750.0,264.99,50.0,86.0,FREE Shipping,men
29,Eyewear,Ray-Ban Wrap Sunglasses for Men - RB3183-63-15-125,690.0,469.98,73.0,82.0,FREE Shipping,men
30,Eyewear,"Ray Ban Rectangle Sunglasses For Men - Gray Lens, Rb4179-601S82, 140 mm",1680.0,884.49,62.0,92.0,FREE Shipping,men
31,Eyewear,"Carrera Aviator Sunglasses for Unisex , 8010/S-R80-59-12-140-WJ",525.0,228.98,89.0,82.0,FREE Shipping,Unisex
32,Eyewear,"Ray Ban Sunglasses for Men - Size 55, Black Frame, 0RB4165 622 2V55",820.0,584.99,43.0,86.0,FREE Shipping,men
33,Eyewear,CARRERA Men's Sunglasses Round Carrera 126/S Shnblckgd,750.0,350.98,65.0,80.0,FREE Shipping,men
34,Eyewear,"Ray-Ban Sunglasses for Men, Black, 3548N",1286.0,576.99,78.0,98.0,FREE Shipping,men
35,Eyewear,"Polaroid Sunglasses for Men, Black- PLD 7005/S 223783YYV63RC",250.0,134.99,94.0,94.0,Eligible for FREE Shipping,men
36,Eyewear,Ray-Ban Rb3025-002/58 Aviator Unisex Sunglasses,985.0,299.0,,84.0,,Unisex
37,Eyewear,"Ray-Ban Junior Unisex's 0RB3647N 90683F 51 Sunglasses, Transparent/Clear Gradient Blue",820.0,470.99,40.0,92.0,FREE Shipping,Unisex
38,Eyewear,"Ray-Ban Sunglasses For Unisex, Grey, 3647N, Round Frame",850.0,444.99,33.0,100.0,FREE Shipping,Unisex
39,Eyewear,"Ray Ban Aviator Sunglasses for Unisex - Green Lens, RB3025 55 W3234",1039.5,444.49,60.0,96.0,FREE Shipping,Unisex
40,Eyewear,"Ray-Ban Unisex Aviator Sunglasses [Rb3025 112/85], 55-14-135, Brown Lens",1014.0,460.7,71.0,90.0,FREE Shipping,Unisex
41,Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3025-001-58 58, Green Lens",970.0,200.0,20.0,80.0,,Unisex
42,Eyewear,"Ray-Ban Aviator Unisex Sunglasses - Rb3025 001-57, Brown Lens",1040.0,463.0,65.0,80.0,FREE Shipping,Unisex
43,Eyewear,"Ray-Ban RB1971 91493F Square Sunglasses for Unisex , Lens 54 mm",997.0,444.99,21.0,,FREE Shipping,Unisex
44,Eyewear,Ray Ban Clubmaster Unisex Sunglasses - RB3016W036-W0365 - 51-50 -25-145 mm,870.0,535.98,50.0,88.0,FREE Shipping,Unisex
45,Eyewear,"Carrera Sunglasses for Unisex Aviator- Grey Lens,  132/S 2M2",765.0,325.49,47.0,86.0,FREE Shipping,Unisex
46,Eyewear,"Carrera Sunglasses for Men , Grey Lenses",700.0,322.98,53.0,,FREE Shipping,men
47,Eyewear,"Polaroid Sunglasses For Men, Multi Color, Pld 2043-S00361Lm, Aviator Frame",250.0,121.49,32.0,88.0,Eligible for FREE Shipping,men
48,Eyewear,"Ray-Ban Sunglasses For Men - Grey, 3553I, 59, 6, 8G",525.0,282.99,98.0,86.0,FREE Shipping,men
49,Eyewear,Lacoste Rectangular Sport Inspired Matte Khaki Sunglasses For Men 54-19-145mm,547.0,281.48,56.0,100.0,FREE Shipping,men
50,Eyewear,Ray-Ban Aviator Unisex's Sunglasses - RB3647N-001/9U-51 - 51-22-145 mm,900.0,503.49,37.0,94.0,FREE Shipping,Unisex
51,Eyewear,"Emporio Armani Rectangle Sunglasses for Men , Grey Lenses , 8053672481389",890.0,516.48,50.0,100.0,FREE Shipping,men
52,Eyewear,"Tom Ford Men's Sunglasses Aviator Marley, Black/Blue",1256.0,557.49,56.0,90.0,FREE Shipping,men
